model,target,mae,rmse,r2
神经网络,tip_amount,1.3716405630111694,2.2650780379302207,0.5765421390533447
随机森林,tip_amount,1.308783251402314,2.2367208688524736,0.5870785376699704
神经网络,tolls_amount,0.3962666690349579,1.1831848143114412,0.5503391027450562
随机森林,tolls_amount,0.28155036891446,0.9831848617893391,0.6895080678907615
神经网络,overall,0.8838966488838196,1.8064901753234195,0.565475344657898
随机森林,overall,0.7951668101584013,1.7276534255474758,0.6382933027821638
